User ID,From Station,To Station,Vehicle ID,Unlock Time,Lock Time,Total Time,Battery Used,Distance
168,32,8,191,0,0.0,2.4000000000000057,60.00000000000001,12.0
143,6,25,82,26.697770542341374,0.0,28.595137138442396,47.4341649025257,9.486832980505138
172,26,25,161,0,0.0,0.5999999999999943,15.0,3.0
155,9,7,58,18.616047770671628,0.0,19.816047770671616,30.0,6.0
133,24,19,107,41.10128202786902,0.0,41.94981016529289,21.213203435596427,4.242640687119285
122,9,5,119,51.61604777067163,0.0,52.95768855717151,33.54101966249685,6.708203932499369
162,9,17,57,11.616047770671628,0.0,12.957688557171508,33.54101966249685,6.708203932499369
151,9,23,21,22.616047770671628,0.0,24.31310404551934,42.42640687119285,8.48528137423857
176,28,27,169,0,0.0,0.5999999999999943,15.0,3.0
127,14,21,10,50.820354550247686,0.0,51.668882687671555,21.213203435596427,4.242640687119285
119,35,31,171,0,57.599999999999994,60,60.00000000000001,12.0
144,1,16,14,35.593311627024065,0.0,37.75664239230247,54.083269131959845,10.816653826391969
179,31,17,86,0,0.0,3.0,75.0,15.0
180,20,4,121,0,0.0,2.1633307652784026,54.083269131959845,10.816653826391969
170,1,32,59,10.11571484927353,0.0,13.175126557429195,76.48529270389179,15.297058540778355
174,25,32,161,9.099999999999994,0.0,9.948528137423864,21.213203435596427,4.242640687119285
175,14,30,17,8.171621444531525,0.0,10.334952209809927,54.083269131959845,10.816653826391969
142,3,23,99,41.856058934713246,0.0,44.01938969999165,54.083269131959845,10.816653826391969
62,0,12,151,123.53294488871211,0.0,124.7329448887121,30.0,6.0
189,24,19,47,0,0.0,0.8485281374238696,21.213203435596427,4.242640687119285
182,19,32,107,7.799052570210392,0.0,9.140693356710273,33.54101966249685,6.708203932499369
116,29,10,95,47.31039302738654,26.79224037651244,76,47.4341649025257,9.486832980505138
188,34,6,141,0.8203545502476857,0.0,4.214467099943107,84.8528137423857,16.97056274847714
192,10,21,122,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
194,9,18,55,0,0.0,2.1633307652784026,54.083269131959845,10.816653826391969
64,0,19,106,130.9442304749123,0.0,132.84159707101333,47.4341649025257,9.486832980505138
171,0,20,197,23.944230474912302,0.0,26.107561240190705,54.083269131959845,10.816653826391969
193,7,26,58,2.8160477706716165,0.0,4.713414366772639,47.4341649025257,9.486832980505138
148,0,5,147,46.9442304749123,0.0,49.9442304749123,75.0,15.0
201,29,3,5,0,0.0,2.6832815729997606,67.0820393249937,13.416407864998739
150,11,7,203,56.64070910049534,0.0,59.04070910049535,60.00000000000001,12.0
209,29,17,148,0,0.0,1.1999999999999886,30.0,6.0
211,28,12,168,0,0.0,2.6832815729997606,67.0820393249937,13.416407864998739
208,8,32,191,4.400000000000006,0.0,6.800000000000011,60.00000000000001,12.0
